iter	Passed	Remaining
406	5598	1279
407	5612	1265
408	5625	1251
409	5639	1237
410	5654	1224
411	5665	1210
412	5677	1196
413	5689	1181
414	5700	1167
415	5714	1153
416	5727	1139
417	5739	1125
418	5750	1111
419	5762	1097
420	5775	1083
421	5787	1069
422	5801	1056
423	5816	1042
424	5829	1028
425	5842	1014
426	5854	1000
427	5865	986
428	5877	972
429	5889	958
430	5901	944
431	5913	930
432	5925	916
433	5939	903
434	5952	889
435	5963	875
436	5975	861
437	5988	847
438	5999	833
439	6010	819
440	6023	805
441	6035	792
442	6047	778
443	6058	764
444	6070	750
445	6082	736
446	6096	722
447	6108	709
448	6121	695
449	6133	681
450	6145	667
451	6156	653
452	6168	640
453	6181	626
454	6193	612
455	6206	598
456	6218	585
457	6230	571
458	6245	557
459	6260	544
460	6273	530
461	6287	517
462	6299	503
463	6312	489
464	6324	476
465	6337	462
466	6351	448
467	6363	435
468	6375	421
469	6386	407
470	6403	394
471	6416	380
472	6428	366
473	6440	353
474	6451	339
475	6463	325
476	6475	312
477	6486	298
478	6498	284
479	6510	271
480	6522	257
481	6533	243
482	6560	230
483	6572	217
484	6584	203
485	6598	190
486	6612	176
487	6630	163
488	6643	149
489	6655	135
490	6667	122
491	6678	108
492	6696	95
493	6710	81
494	6723	67
495	6737	54
496	6748	40
497	6761	27
498	6775	13
499	6788	0
