iter	Logloss
0	0.6352794743
1	0.5704148517
2	0.5354038164
3	0.5176136129
4	0.5033873201
5	0.4944525273
6	0.4818247732
7	0.4744163351
8	0.4648701358
9	0.4556373534
10	0.451586111
11	0.4485613264
12	0.4426014591
13	0.4383071618
14	0.4359613812
15	0.4340264749
16	0.4319422645
17	0.4295794244
18	0.4273823094
19	0.4256425634
20	0.4239967971
21	0.4215725742
22	0.4193753965
23	0.418284192
24	0.4173155254
25	0.41523552
26	0.4113323023
27	0.4100302446
28	0.4088446126
29	0.4079386417
30	0.4065068802
31	0.405724658
32	0.4027608167
33	0.4000530351
34	0.3987539361
35	0.3978395603
36	0.3960422079
37	0.3951064695
38	0.394124667
39	0.3933232373
40	0.3922816268
41	0.3914720335
42	0.3906038212
43	0.3883031902
44	0.3876268308
45	0.386684646
46	0.3860550606
47	0.3852533273
48	0.3841700108
49	0.3832435073
50	0.3821455509
51	0.3815488779
52	0.3804337381
53	0.3796329348
54	0.3784643474
55	0.377660717
56	0.376979707
57	0.375713509
58	0.3746220667
59	0.3738024342
60	0.3731335245
61	0.3723857782
62	0.371706334
63	0.3710682325
64	0.3703870804
65	0.369679222
66	0.3688981023
67	0.368395988
68	0.3673264745
69	0.3669539217
70	0.3663498654
71	0.3655875702
72	0.3643289436
73	0.3633777222
74	0.3626533274
75	0.3618671189
76	0.36120423
77	0.3601847409
78	0.3594529757
79	0.3589814078
80	0.3581623853
81	0.3572717472
82	0.3564618387
83	0.3555893028
84	0.3549283012
85	0.354107468
86	0.3534808179
87	0.3527386792
88	0.3519992439
89	0.3506205179
90	0.349711386
91	0.3490645973
92	0.3485581854
93	0.3479065152
94	0.3469609306
95	0.3463685476
96	0.345696858
97	0.3448708825
98	0.3441554051
99	0.343367945
100	0.3427266535
101	0.342113073
102	0.3413742905
103	0.3405837773
104	0.3398211326
105	0.3391338092
106	0.3385501644
107	0.3377207932
108	0.3370068016
109	0.3360757579
110	0.335040145
111	0.3340163301
112	0.3332457386
113	0.3323164205
114	0.3314759813
115	0.3308824932
116	0.3302363821
117	0.3296346853
118	0.3288227093
119	0.3281296322
120	0.3271893577
121	0.3263674195
122	0.3256930627
123	0.3249272226
124	0.3238505692
125	0.3230706471
126	0.3223217042
127	0.3214025456
128	0.3207580243
129	0.319878581
130	0.3191554557
131	0.3185179835
132	0.3179929844
133	0.3173312013
134	0.3165607972
135	0.315625502
136	0.3148575722
137	0.3141412717
138	0.3133202705
139	0.3126442384
140	0.3121220105
141	0.3113992669
142	0.3108043406
143	0.3100794374
144	0.3093175349
145	0.3087631116
146	0.307989625
147	0.3072106792
148	0.3063376494
149	0.3057912381
150	0.3051857026
151	0.3043490035
152	0.3038016193
153	0.3031255891
154	0.3023290823
155	0.3017467902
156	0.3009340569
157	0.3001028921
158	0.2993767747
159	0.2986787399
160	0.2977847315
161	0.2971691239
162	0.2966383658
163	0.295385026
164	0.2946528131
165	0.2939870471
166	0.2932626755
167	0.2924952668
168	0.2918776173
169	0.291398844
170	0.290838982
171	0.2903030903
172	0.2897025093
173	0.2891502569
174	0.2888175742
175	0.2882799257
176	0.2877360804
177	0.2871807643
178	0.2862625722
179	0.2856318687
180	0.2849904852
181	0.2845165111
182	0.2842044963
183	0.2836700599
184	0.283068015
185	0.282103363
186	0.2815336317
187	0.2810391959
188	0.280110552
189	0.279651718
190	0.2789689446
191	0.2783798675
192	0.2775669612
193	0.2770507905
194	0.276568181
195	0.2759458294
196	0.2754765032
197	0.2748935445
198	0.2744574112
199	0.2738248542
200	0.2733848501
201	0.2728696705
202	0.2724179721
203	0.2719799005
204	0.2712877234
205	0.2707731464
206	0.2702699276
207	0.2697086693
208	0.2689512995
209	0.2683332841
210	0.2677768667
211	0.2673847987
212	0.2668690621
213	0.26623086
214	0.2657683192
215	0.2652593636
216	0.2645702994
217	0.2640418149
218	0.2635868532
219	0.2629541638
220	0.2625764497
221	0.2620369594
222	0.261740895
223	0.2612574783
224	0.2607876941
225	0.2602167247
226	0.2596353285
227	0.2592311556
228	0.2588397807
229	0.2582410194
230	0.2576085645
231	0.257033823
232	0.2563280935
233	0.2557204495
234	0.255210346
235	0.2546763919
236	0.2541510529
237	0.2536998329
238	0.2531021479
239	0.2525849591
240	0.252153018
241	0.2516579946
