iter	Logloss
242	0.2511480008
243	0.2507178237
244	0.2502338353
245	0.2497825011
246	0.2492655391
247	0.2488295563
248	0.2482620754
249	0.2478996113
250	0.2473230889
251	0.2468525754
252	0.2462894619
253	0.2456843258
254	0.2453588132
255	0.2448941188
256	0.2445183973
257	0.2440753493
258	0.2437384872
259	0.2433889322
260	0.2429915738
261	0.2424907303
262	0.2418909857
263	0.2415297076
264	0.240986078
265	0.2404795867
266	0.2397906474
267	0.239377951
268	0.2388926146
269	0.2383820041
270	0.2380409396
271	0.2377657715
272	0.2373371421
273	0.2366006041
274	0.2359372852
275	0.2352779877
276	0.2347580241
277	0.2341816811
278	0.2338072111
279	0.2333635406
280	0.2328214269
281	0.2323854497
282	0.2319771636
283	0.2315323695
284	0.2310496936
285	0.2305051712
286	0.229951458
287	0.2294690123
288	0.2289975148
289	0.2285248267
290	0.2280290013
291	0.2276173746
292	0.2272037209
293	0.2268122327
294	0.2263622867
295	0.2258687157
296	0.2255102711
297	0.2250085287
298	0.2244941872
299	0.2239815792
300	0.2235148724
301	0.2231092386
302	0.2227546697
303	0.2223462174
304	0.2219337031
305	0.2215385826
306	0.2211007619
307	0.2206808142
308	0.2203744628
309	0.2198419869
310	0.2193841479
311	0.2188955814
312	0.2183766063
313	0.2178985749
314	0.2175096865
315	0.2170291511
316	0.2165351155
317	0.2158052106
318	0.2153365387
319	0.2149882525
320	0.214474198
321	0.2139786071
322	0.2136984866
323	0.2132876475
324	0.2128495933
325	0.2123174812
326	0.2118659168
327	0.2115361331
328	0.2110545661
329	0.2107420189
330	0.2103241825
331	0.2100279985
332	0.209665098
333	0.2092908494
334	0.2089065928
335	0.2085819605
336	0.2082469366
337	0.2079211401
338	0.2074196128
339	0.2069352996
340	0.2064345482
341	0.2061162256
342	0.205817277
343	0.2054890816
344	0.2051552459
345	0.2047322168
346	0.2045302158
347	0.204276483
348	0.2039676007
349	0.2037151539
350	0.2034138731
351	0.20303175
352	0.2027331604
353	0.2023276969
354	0.2020070723
355	0.2015799867
356	0.2012607557
357	0.2009179487
358	0.2004669513
359	0.2000657888
360	0.1998360825
361	0.1995197592
362	0.1990270929
363	0.1986625582
364	0.1983232928
365	0.1979453163
366	0.197591654
367	0.1973567476
368	0.1969689796
369	0.1965633651
370	0.1961893503
371	0.1957762056
372	0.1953628376
373	0.1949900954
374	0.1946327791
375	0.1941978461
376	0.1937799115
377	0.1934235176
378	0.1929750941
379	0.1927067497
380	0.1923287644
381	0.1919368085
382	0.191549606
383	0.1912665169
384	0.1910001197
385	0.1907854986
386	0.1904678378
387	0.1902973971
388	0.1899463133
389	0.1896875026
390	0.1894081491
391	0.1891414476
392	0.1887739282
393	0.1884871869
394	0.1881144266
395	0.1877670326
396	0.1874057765
397	0.1870539586
398	0.1868644282
399	0.1864839996
400	0.1861225826
401	0.1857905119
402	0.185499375
403	0.1851811209
404	0.1848667703
405	0.1846294945
406	0.1843107141
407	0.1840543371
408	0.1837043829
409	0.1833609638
410	0.1828929949
411	0.1824517179
412	0.1820651457
413	0.18188968
414	0.1816426032
415	0.181513444
416	0.1811719597
417	0.1809988207
418	0.1807203367
419	0.1803900118
420	0.1800130221
421	0.1795201443
422	0.1791922394
423	0.1789591487
424	0.1785144064
425	0.1781698366
426	0.1778752398
427	0.1775558393
428	0.1771791689
429	0.1768634298
430	0.1765833384
431	0.176235252
432	0.1758977429
433	0.1756481245
434	0.1752904325
435	0.1749423545
436	0.1746181731
437	0.1744097906
438	0.1740227609
439	0.1736776153
440	0.1733280544
441	0.1730514795
442	0.1728381231
443	0.172400082
444	0.1720771939
445	0.1718727545
446	0.171655222
447	0.1713523166
448	0.1710754071
449	0.1708098507
450	0.1704036242
451	0.1700418035
452	0.1696361498
453	0.1692707928
454	0.1690159006
455	0.1687765925
456	0.1685015938
457	0.1681196009
458	0.1678898914
459	0.1675725157
460	0.167211554
461	0.1668159671
462	0.1665354042
463	0.1662164715
464	0.1659388227
465	0.1657190541
466	0.1653753095
467	0.1650555516
468	0.1647156353
469	0.1643758001
470	0.1641479661
471	0.1638749906
472	0.1636569715
473	0.1634615797
474	0.1631685524
475	0.1630130463
476	0.1626989465
477	0.1623470418
478	0.1621236825
479	0.1617370165
480	0.161442741
481	0.161051702
482	0.1607783635
483	0.1606343835
484	0.1603593255
485	0.1600437163
486	0.1597432351
487	0.1594496152
488	0.1591802956
489	0.1589564248
490	0.158682433
491	0.1584241968
492	0.1579849656
493	0.1577349456
494	0.157496902
495	0.1572376427
496	0.1569051432
497	0.1566342525
498	0.1563530917
499	0.1560549164
